gene,locus_capt,type,Stock_number,PA.site.number,insert.location,PA.group,treatment,collection.time,replicate,tray,row,column,plant_ID,rosette.diameter,bolt.at.collection,germination.day,Length.cm.,primary.length,upper.LR.count,mid.LR.count,lower.LR.count,upper.LR.length,mid.LR.length,lower.LR.length,LR.count,LR.density,mid.LR.density,lower.LR.density,ttl.LR.count,upper.LR.density,below.ground.mass.mg,above.ground.mass.mg,day.to.bolt,diameter.at.bolt,day.to.flower,day.to.mature,reprod.num,basal.fruit.length,mid.fruit.length,upper.fruit.length,inflorescence.height,mainbranch,basal.branch,ttl.maininfl.branch,branch.basalbranch,days.to.collect,days.to.bolt,days.to.flower,collection.age,days.to.mature,ttl.branch,fruit.num,flw.num,aborted.fruits,flw.buds,above.ground.mass.g,plant.age,locus,PAC_count,PAC_count_neg,PAC_count_pos,mean_PAC_insert_dist,mean_PAC_insert_dist_pos,mean_PAC_insert_dist_neg,PAC_strand_group
phytometer,,,CS22596,NA,phytometer,,IAA,21d,2,1,A,1,1,22.6,n,2,36.1634,2.605,32,13,6,2.007,0.027,0.106,19,10.94049904,14.97120921,6.909788868,NA,NA,0.719,3.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
phytometer,,,CS22596,NA,phytometer,,control,21d,1,1,A,2,2,29.6,n,4,87.2446,4.929,NA,13,2,NA,0.89,0.589,15,4.56482045,7.912355447,1.217285453,NA,NA,1.133,18.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
ARF21,AT1G34410,auxin.signal.transduction,SALK_020702C,0,exon,0,control,21d,1,1,A,8,8,25.3,y,2,83.9033,4.86,8,12,5,0.242,0.715,0.122,17,5.24691358,7.407407407,3.086419753,NA,NA,0.637,9.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G34410,3,0,3,181.6666667,181.6666667,NA,+
ARF11,AT2G46530,auxin.signal.transduction,SALK_063778C,4,exon,>2,control,21d,1,1,A,9,9,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G46530,4,0,4,1351,1351,NA,+
phytometer,,,CS70000,NA,phytometer,,control,21d,1,1,B,1,11,28.4,y,3,129.323,4.882,NA,4,5,NA,1.002,0.182,9,2.765260139,2.458009013,3.072511266,NA,NA,0.962,8.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
AFB3,AT1G12820,auxin.signal.transduction,SALK_068787C,1,exon,1+2,control,21d,2,1,B,2,12,29.7,y,3,96.5935,7.055,NA,8,16,NA,2.795,1.212,24,5.102763997,3.401842665,6.80368533,NA,NA,1.471,16.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G12820,11,11,0,NA,NA,NA,-
LAX2,AT2G21050,auxin.transport,SALK_208379C,1,exon,1+2,control,21d,1,1,B,3,13,26.1,y,3,139.3264,6.627,NA,9,9,NA,0.134,0.244,18,4.074241738,4.074241738,4.074241738,NA,NA,1.052,9.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G21050,1,0,1,1535,1535,NA,+
ABP1,AT4G02980,auxin.signal.transduction,SALK_208329C,4,promoter,>2,control,21d,1,1,B,4,14,26.1,y,3,80.4127,5.744,NA,11,8,NA,0.071,0.225,19,4.961699164,5.745125348,4.178272981,NA,NA,1.004,8.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT4G02980,3,3,0,1233.333333,NA,1233.333333,-
IAA5,AT1G15580,auxin.signal.transduction,SALK_112553C,2,exon,1+2,IAA,21d,2,1,B,6,16,25.9,y,3,204.2012,5.886,NA,19,13,NA,0.198,0.034,32,8.154943935,9.683995923,6.625891947,NA,NA,2.209,9.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G15580,1,1,0,465,NA,465,-
LAX2,AT2G21050,auxin.transport,SALK_208379C,1,exon,1+2,IAA,21d,1,1,B,7,17,20.8,n,2,48.57,3.142,NA,2,5,NA,1.208,0.047,7,3.341820496,1.909611712,4.774029281,NA,NA,0.824,4.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G21050,1,0,1,1535,1535,NA,+
