chrom,source,feature,begin,end,,,,locus,transcript,,,
Chr1,Araport11,mRNA,21979289,21984407,.,+,.,AT1G59750,4,_Curator_summary=Encodes a member of the auxin response factor family. ARFs bind to the cis element 5'-TGTCTC-3' ARFs mediate changes in gene expression in response to auxin. ARF's form heterodimers with IAA/AUX genes. ARF1 enhances mutant phenotypes of ARF2 and may act with ARF2 to control aspects of maturation and senescence.ARF1:LUC and 3xHA:ARF1 proteins have a half-life of ~3-4 hours and their degradation is reduced by proteasome inhibitors. 3xHA:ARF1 degradation is not affected by a pre-treatment with IAA. A nuclear-targeted fusion protein containing the middle region of ARF1 linked to LUC:NLS has a similar half-life to the full-length ARF1:LUC construct. The degradation of 3xHA:ARF1 is not affected in an axr6-3 mutant grown at room temperature%2C although the degradation of AXR2/IAA7 is slowed under these conditions.,Dbxref=gene:6530296437,
Chr1,Araport11,exon,21979289,21979619,.,+,.,AT1G59750,4,Name=ARF1:exon:1,ID=AT1G59750:exon:1,Parent=AT1G59750.4
Chr1,Araport11,five_prime_UTR,21979289,21979619,.,+,.,AT1G59750,4,Name=ARF1:five_prime_UTR:1,ID=AT1G59750:five_prime_UTR:1,Parent=AT1G59750.4
Chr1,Araport11,CDS,21980414,21980450,.,+,0,AT1G59750,4,Name=ARF1:CDS:1,ID=AT1G59750:CDS:1,Parent=AT1G59750.4
Chr1,Araport11,CDS,21980656,21980771,.,+,2,AT1G59750,4,Name=ARF1:CDS:2,ID=AT1G59750:CDS:2,Parent=AT1G59750.4
Chr1,Araport11,CDS,21981027,21981122,.,+,0,AT1G59750,4,Name=ARF1:CDS:3,ID=AT1G59750:CDS:3,Parent=AT1G59750.4
Chr1,Araport11,CDS,21981229,21981285,.,+,0,AT1G59750,4,Name=ARF1:CDS:4,ID=AT1G59750:CDS:4,Parent=AT1G59750.4
Chr1,Araport11,CDS,21981384,21981536,.,+,0,AT1G59750,4,Name=ARF1:CDS:5,ID=AT1G59750:CDS:5,Parent=AT1G59750.4
Chr1,Araport11,CDS,21981622,21981706,.,+,0,AT1G59750,4,Name=ARF1:CDS:6,ID=AT1G59750:CDS:6,Parent=AT1G59750.4
Chr1,Araport11,CDS,21981860,21981950,.,+,2,AT1G59750,4,Name=ARF1:CDS:7,ID=AT1G59750:CDS:7,Parent=AT1G59750.4
Chr1,Araport11,CDS,21982029,21982193,.,+,1,AT1G59750,4,Name=ARF1:CDS:8,ID=AT1G59750:CDS:8,Parent=AT1G59750.4
Chr1,Araport11,CDS,21982419,21982538,.,+,1,AT1G59750,4,Name=ARF1:CDS:9,ID=AT1G59750:CDS:9,Parent=AT1G59750.4
Chr1,Araport11,CDS,21982629,21982704,.,+,1,AT1G59750,4,Name=ARF1:CDS:10,ID=AT1G59750:CDS:10,Parent=AT1G59750.4
Chr1,Araport11,exon,21982824,21982989,.,+,.,AT1G59750,4,Name=ARF1:exon:15,ID=AT1G59750:exon:15,Parent=AT1G59750.4
Chr1,Araport11,CDS,21982824,21982989,.,+,0,AT1G59750,4,Name=ARF1:CDS:11,ID=AT1G59750:CDS:11,Parent=AT1G59750.4
Chr1,Araport11,CDS,21983081,21983541,.,+,2,AT1G59750,4,Name=ARF1:CDS:14,ID=AT1G59750:CDS:14,Parent=AT1G59750.4
Chr1,Araport11,CDS,21983688,21983878,.,+,0,AT1G59750,4,Name=ARF1:CDS:15,ID=AT1G59750:CDS:15,Parent=AT1G59750.4
Chr1,Araport11,CDS,21984025,21984193,.,+,1,AT1G59750,4,Name=ARF1:CDS:16,ID=AT1G59750:CDS:16,Parent=AT1G59750.4
Chr1,Araport11,exon,21984025,21984407,.,+,.,AT1G59750,4,Name=ARF1:exon:20,ID=AT1G59750:exon:20,Parent=AT1G59750.4
Chr1,Araport11,three_prime_UTR,21984194,21984407,.,+,.,AT1G59750,4,Name=ARF1:three_prime_UTR:1,ID=AT1G59750:three_prime_UTR:1,Parent=AT1G59750.4
Chr1,Araport11,five_prime_UTR,21980384,21980413,.,+,.,AT1G59750,4,Name=ARF1:five_prime_UTR:5,ID=AT1G59750:five_prime_UTR:5,Parent=AT1G59750.4
Chr1,Araport11,exon,21980384,21980450,.,+,.,AT1G59750,4,Name=ARF1:exon:5,ID=AT1G59750:exon:5,Parent=AT1G59750.4
Chr1,Araport11,exon,21980656,21980771,.,+,.,AT1G59750,4,Name=ARF1:exon:6,ID=AT1G59750:exon:6,Parent=AT1G59750.4
Chr1,Araport11,exon,21981027,21981122,.,+,.,AT1G59750,4,Name=ARF1:exon:7,ID=AT1G59750:exon:7,Parent=AT1G59750.4
Chr1,Araport11,exon,21981229,21981285,.,+,.,AT1G59750,4,Name=ARF1:exon:8,ID=AT1G59750:exon:8,Parent=AT1G59750.4
Chr1,Araport11,exon,21981384,21981536,.,+,.,AT1G59750,4,Name=ARF1:exon:9,ID=AT1G59750:exon:9,Parent=AT1G59750.4
Chr1,Araport11,exon,21981622,21981706,.,+,.,AT1G59750,4,Name=ARF1:exon:10,ID=AT1G59750:exon:10,Parent=AT1G59750.4
Chr1,Araport11,exon,21981860,21981950,.,+,.,AT1G59750,4,Name=ARF1:exon:11,ID=AT1G59750:exon:11,Parent=AT1G59750.4
Chr1,Araport11,exon,21982029,21982193,.,+,.,AT1G59750,4,Name=ARF1:exon:12,ID=AT1G59750:exon:12,Parent=AT1G59750.4
Chr1,Araport11,exon,21982419,21982538,.,+,.,AT1G59750,4,Name=ARF1:exon:13,ID=AT1G59750:exon:13,Parent=AT1G59750.4
Chr1,Araport11,exon,21982629,21982704,.,+,.,AT1G59750,4,Name=ARF1:exon:14,ID=AT1G59750:exon:14,Parent=AT1G59750.4
Chr1,Araport11,exon,21983081,21983541,.,+,.,AT1G59750,4,Name=ARF1:exon:18,ID=AT1G59750:exon:18,Parent=AT1G59750.4
Chr1,Araport11,exon,21983688,21983878,.,+,.,AT1G59750,4,Name=ARF1:exon:19,ID=AT1G59750:exon:19,Parent=AT1G59750.4
Chr1,Araport11,mRNA,21979339,21984433,.,+,.,AT1G59750,3,_Curator_summary=Encodes a member of the auxin response factor family. ARFs bind to the cis element 5'-TGTCTC-3' ARFs mediate changes in gene expression in response to auxin. ARF's form heterodimers with IAA/AUX genes. ARF1 enhances mutant phenotypes of ARF2 and may act with ARF2 to control aspects of maturation and senescence.ARF1:LUC and 3xHA:ARF1 proteins have a half-life of ~3-4 hours and their degradation is reduced by proteasome inhibitors. 3xHA:ARF1 degradation is not affected by a pre-treatment with IAA. A nuclear-targeted fusion protein containing the middle region of ARF1 linked to LUC:NLS has a similar half-life to the full-length ARF1:LUC construct. The degradation of 3xHA:ARF1 is not affected in an axr6-3 mutant grown at room temperature%2C although the degradation of AXR2/IAA7 is slowed under these conditions.,Dbxref=gene:1009021257,
Chr1,Araport11,exon,21979339,21979423,.,+,.,AT1G59750,3,Name=ARF1:exon:2,ID=AT1G59750:exon:2,Parent=AT1G59750.3
Chr1,Araport11,five_prime_UTR,21979339,21979423,.,+,.,AT1G59750,3,Name=ARF1:five_prime_UTR:2,ID=AT1G59750:five_prime_UTR:2,Parent=AT1G59750.3
Chr1,Araport11,CDS,21980414,21980450,.,+,0,AT1G59750,3,Name=ARF1:CDS:1,ID=AT1G59750:CDS:1.2,Parent=AT1G59750.3
Chr1,Araport11,CDS,21980656,21980771,.,+,2,AT1G59750,3,Name=ARF1:CDS:2,ID=AT1G59750:CDS:2.2,Parent=AT1G59750.3
Chr1,Araport11,CDS,21981027,21981122,.,+,0,AT1G59750,3,Name=ARF1:CDS:3,ID=AT1G59750:CDS:3.2,Parent=AT1G59750.3
Chr1,Araport11,CDS,21981229,21981285,.,+,0,AT1G59750,3,Name=ARF1:CDS:4,ID=AT1G59750:CDS:4.2,Parent=AT1G59750.3
Chr1,Araport11,CDS,21981384,21981536,.,+,0,AT1G59750,3,Name=ARF1:CDS:5,ID=AT1G59750:CDS:5.2,Parent=AT1G59750.3
Chr1,Araport11,CDS,21981622,21981706,.,+,0,AT1G59750,3,Name=ARF1:CDS:6,ID=AT1G59750:CDS:6.2,Parent=AT1G59750.3
Chr1,Araport11,CDS,21981860,21981950,.,+,2,AT1G59750,3,Name=ARF1:CDS:7,ID=AT1G59750:CDS:7.2,Parent=AT1G59750.3
Chr1,Araport11,CDS,21982029,21982193,.,+,1,AT1G59750,3,Name=ARF1:CDS:8,ID=AT1G59750:CDS:8.2,Parent=AT1G59750.3
Chr1,Araport11,CDS,21982419,21982538,.,+,1,AT1G59750,3,Name=ARF1:CDS:9,ID=AT1G59750:CDS:9.2,Parent=AT1G59750.3
Chr1,Araport11,CDS,21982629,21982704,.,+,1,AT1G59750,3,Name=ARF1:CDS:10,ID=AT1G59750:CDS:10.2,Parent=AT1G59750.3
Chr1,Araport11,CDS,21982824,21982995,.,+,0,AT1G59750,3,Name=ARF1:CDS:12,ID=AT1G59750:CDS:12.1,Parent=AT1G59750.3
Chr1,Araport11,CDS,21983072,21983541,.,+,2,AT1G59750,3,Name=ARF1:CDS:13,ID=AT1G59750:CDS:13.1,Parent=AT1G59750.3
Chr1,Araport11,exon,21983072,21983541,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,CDS,21983688,21983878,.,+,0,AT1G59750,3,Name=ARF1:CDS:15,ID=AT1G59750:CDS:15.2,Parent=AT1G59750.3
Chr1,Araport11,CDS,21984025,21984193,.,+,1,AT1G59750,3,Name=ARF1:CDS:16,ID=AT1G59750:CDS:16.2,Parent=AT1G59750.3
Chr1,Araport11,exon,21984025,21984433,.,+,.,AT1G59750,3,Name=ARF1:exon:23,ID=AT1G59750:exon:23,Parent=AT1G59750.3
Chr1,Araport11,three_prime_UTR,21984194,21984433,.,+,.,AT1G59750,3,Name=ARF1:three_prime_UTR:4,ID=AT1G59750:three_prime_UTR:4,Parent=AT1G59750.3
Chr1,Araport11,five_prime_UTR,21980384,21980413,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,exon,21980384,21980450,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,exon,21980656,21980771,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,exon,21981027,21981122,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,exon,21981229,21981285,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,exon,21981384,21981536,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,exon,21981622,21981706,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,exon,21981860,21981950,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,exon,21982029,21982193,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,exon,21982419,21982538,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,exon,21982629,21982704,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,exon,21982824,21982995,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,exon,21983688,21983878,.,+,.,AT1G59750,3,Parent=AT1G59750.3,,
Chr1,Araport11,mRNA,21979339,21984429,.,+,.,AT1G59750,1,_Curator_summary=Encodes a member of the auxin response factor family. ARFs bind to the cis element 5'-TGTCTC-3' ARFs mediate changes in gene expression in response to auxin. ARF's form heterodimers with IAA/AUX genes. ARF1 enhances mutant phenotypes of ARF2 and may act with ARF2 to control aspects of maturation and senescence.ARF1:LUC and 3xHA:ARF1 proteins have a half-life of ~3-4 hours and their degradation is reduced by proteasome inhibitors. 3xHA:ARF1 degradation is not affected by a pre-treatment with IAA. A nuclear-targeted fusion protein containing the middle region of ARF1 linked to LUC:NLS has a similar half-life to the full-length ARF1:LUC construct. The degradation of 3xHA:ARF1 is not affected in an axr6-3 mutant grown at room temperature%2C although the degradation of AXR2/IAA7 is slowed under these conditions.,Dbxref=PMID:9188533,
Chr1,Araport11,exon,21979339,21979619,.,+,.,AT1G59750,1,Name=ARF1:exon:3,ID=AT1G59750:exon:3,Parent=AT1G59750.1
Chr1,Araport11,five_prime_UTR,21979339,21979619,.,+,.,AT1G59750,1,Name=ARF1:five_prime_UTR:3,ID=AT1G59750:five_prime_UTR:3,Parent=AT1G59750.1
Chr1,Araport11,CDS,21980414,21980450,.,+,0,AT1G59750,1,Name=ARF1:CDS:1,ID=AT1G59750:CDS:1.1,Parent=AT1G59750.1
Chr1,Araport11,CDS,21980656,21980771,.,+,2,AT1G59750,1,Name=ARF1:CDS:2,ID=AT1G59750:CDS:2.1,Parent=AT1G59750.1
Chr1,Araport11,CDS,21981027,21981122,.,+,0,AT1G59750,1,Name=ARF1:CDS:3,ID=AT1G59750:CDS:3.1,Parent=AT1G59750.1
Chr1,Araport11,CDS,21981229,21981285,.,+,0,AT1G59750,1,Name=ARF1:CDS:4,ID=AT1G59750:CDS:4.1,Parent=AT1G59750.1
Chr1,Araport11,CDS,21981384,21981536,.,+,0,AT1G59750,1,Name=ARF1:CDS:5,ID=AT1G59750:CDS:5.1,Parent=AT1G59750.1
Chr1,Araport11,CDS,21981622,21981706,.,+,0,AT1G59750,1,Name=ARF1:CDS:6,ID=AT1G59750:CDS:6.1,Parent=AT1G59750.1
Chr1,Araport11,CDS,21981860,21981950,.,+,2,AT1G59750,1,Name=ARF1:CDS:7,ID=AT1G59750:CDS:7.1,Parent=AT1G59750.1
Chr1,Araport11,CDS,21982029,21982193,.,+,1,AT1G59750,1,Name=ARF1:CDS:8,ID=AT1G59750:CDS:8.1,Parent=AT1G59750.1
Chr1,Araport11,CDS,21982419,21982538,.,+,1,AT1G59750,1,Name=ARF1:CDS:9,ID=AT1G59750:CDS:9.1,Parent=AT1G59750.1
Chr1,Araport11,CDS,21982629,21982704,.,+,1,AT1G59750,1,Name=ARF1:CDS:10,ID=AT1G59750:CDS:10.1,Parent=AT1G59750.1
Chr1,Araport11,CDS,21982824,21982995,.,+,0,AT1G59750,1,Name=ARF1:CDS:12,ID=AT1G59750:CDS:12,Parent=AT1G59750.1
Chr1,Araport11,CDS,21983072,21983541,.,+,2,AT1G59750,1,Name=ARF1:CDS:13,ID=AT1G59750:CDS:13,Parent=AT1G59750.1
