chrom,source,feature,begin,end,,,,locus,transcript,,,,,
Chr5,Araport11,mRNA,24308255,24312784,.,-,.,AT5G60450,2,_Symbol=ARF4,Name=AT5G60450.2,_Full_name=auxin response factor 4,Note=auxin response factor 4,ID=AT5G60450.2
Chr5,Araport11,CDS,24308558,24308726,.,-,1,AT5G60450,2,Name=ARF4:CDS:14,ID=AT5G60450:CDS:14,Parent=AT5G60450.2,,
Chr5,Araport11,CDS,24308809,24308999,.,-,0,AT5G60450,2,Name=ARF4:CDS:13,ID=AT5G60450:CDS:13,Parent=AT5G60450.2,,
Chr5,Araport11,CDS,24309094,24309782,.,-,2,AT5G60450,2,Name=ARF4:CDS:12,ID=AT5G60450:CDS:12,Parent=AT5G60450.2,,
Chr5,Araport11,CDS,24309884,24310049,.,-,0,AT5G60450,2,Name=ARF4:CDS:11,ID=AT5G60450:CDS:11,Parent=AT5G60450.2,,
Chr5,Araport11,CDS,24310149,24310224,.,-,1,AT5G60450,2,Name=ARF4:CDS:10,ID=AT5G60450:CDS:10,Parent=AT5G60450.2,,
Chr5,Araport11,CDS,24310307,24310426,.,-,1,AT5G60450,2,Name=ARF4:CDS:9,ID=AT5G60450:CDS:9,Parent=AT5G60450.2,,
Chr5,Araport11,CDS,24310524,24310685,.,-,1,AT5G60450,2,Name=ARF4:CDS:8,ID=AT5G60450:CDS:8,Parent=AT5G60450.2,,
Chr5,Araport11,CDS,24310809,24310899,.,-,2,AT5G60450,2,Name=ARF4:CDS:7,ID=AT5G60450:CDS:7,Parent=AT5G60450.2,,
Chr5,Araport11,CDS,24310983,24311067,.,-,0,AT5G60450,2,Name=ARF4:CDS:6,ID=AT5G60450:CDS:6,Parent=AT5G60450.2,,
Chr5,Araport11,CDS,24311166,24311351,.,-,0,AT5G60450,2,Name=ARF4:CDS:5,ID=AT5G60450:CDS:5,Parent=AT5G60450.2,,
Chr5,Araport11,CDS,24311614,24311670,.,-,0,AT5G60450,2,Name=ARF4:CDS:4,ID=AT5G60450:CDS:4,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24311813,24312018,.,-,.,AT5G60450,2,Name=ARF4:exon:3,ID=AT5G60450:exon:3,Parent=AT5G60450.2,,
Chr5,Araport11,CDS,24311813,24312018,.,-,2,AT5G60450,2,Name=ARF4:CDS:3,ID=AT5G60450:CDS:3,Parent=AT5G60450.2,,
