chrom,source,feature,begin,end,,,,locus,transcript,,,,,,,
Chr1,Araport11,mRNA,8180189,8183650,.,-,.,AT1G23080,4,_Symbol=PIN7,Name=AT1G23080.4,_Full_name=PIN-FORMED 7,Note=Auxin efflux carrier family protein,Dbxref=UniProt:A8MQX0,ID=AT1G23080.4,Alias=ATPIN7
Chr1,Araport11,CDS,8180768,8180834,.,-,1,AT1G23080,4,Name=PIN7:CDS:8,ID=AT1G23080:CDS:8,Parent=AT1G23080.4,,,,
Chr1,Araport11,CDS,8180926,8181002,.,-,0,AT1G23080,4,Name=PIN7:CDS:7,ID=AT1G23080:CDS:7,Parent=AT1G23080.4,,,,
Chr1,Araport11,CDS,8181083,8181240,.,-,2,AT1G23080,4,Name=PIN7:CDS:6,ID=AT1G23080:CDS:6,Parent=AT1G23080.4,,,,
Chr1,Araport11,CDS,8181682,8181767,.,-,1,AT1G23080,4,Name=PIN7:CDS:4,ID=AT1G23080:CDS:4,Parent=AT1G23080.4,,,,
Chr1,Araport11,CDS,8181858,8182128,.,-,2,AT1G23080,4,Name=PIN7:CDS:3,ID=AT1G23080:CDS:3,Parent=AT1G23080.4,,,,
Chr1,Araport11,CDS,8182218,8183406,.,-,0,AT1G23080,4,Name=PIN7:CDS:1,ID=AT1G23080:CDS:1,Parent=AT1G23080.4,,,,
Chr1,Araport11,exon,8182218,8183650,.,-,.,AT1G23080,4,Name=PIN7:exon:1,ID=AT1G23080:exon:1,Parent=AT1G23080.4,,,,
Chr1,Araport11,three_prime_UTR,8180189,8180767,.,-,.,AT1G23080,4,Name=PIN7:three_prime_UTR:4,ID=AT1G23080:three_prime_UTR:4,Parent=AT1G23080.4,,,,
Chr1,Araport11,exon,8180189,8180834,.,-,.,AT1G23080,4,Name=PIN7:exon:12,ID=AT1G23080:exon:12,Parent=AT1G23080.4,,,,
Chr1,Araport11,five_prime_UTR,8183407,8183650,.,-,.,AT1G23080,4,Name=PIN7:five_prime_UTR:1,ID=AT1G23080:five_prime_UTR:1,Parent=AT1G23080.4,,,,
Chr1,Araport11,exon,8180926,8181002,.,-,.,AT1G23080,4,Name=PIN7:exon:8,ID=AT1G23080:exon:8,Parent=AT1G23080.4,,,,
Chr1,Araport11,exon,8181083,8181240,.,-,.,AT1G23080,4,Name=PIN7:exon:7,ID=AT1G23080:exon:7,Parent=AT1G23080.4,,,,
Chr1,Araport11,exon,8181682,8181767,.,-,.,AT1G23080,4,Name=PIN7:exon:6,ID=AT1G23080:exon:6,Parent=AT1G23080.4,,,,
Chr1,Araport11,exon,8181858,8182128,.,-,.,AT1G23080,4,Name=PIN7:exon:5,ID=AT1G23080:exon:5,Parent=AT1G23080.4,,,,
