chrom,source,feature,begin,end,,,,locus,transcript,,,,,,
Chr2,Araport11,mRNA,9636346,9638761,.,+,.,AT2G22670,1,_Curator_summary=Encodes a transcriptional repressor of the auxin response that is auxin inducible and is involved in lateral root formation.,Dbxref=PMID:11118137,,,,
Chr2,Araport11,exon,9636346,9636637,.,+,.,AT2G22670,1,Name=IAA8:exon:1,ID=AT2G22670:exon:1,Parent=AT2G22670.1,,,
Chr2,Araport11,five_prime_UTR,9636346,9636637,.,+,.,AT2G22670,1,Name=IAA8:five_prime_UTR:1,ID=AT2G22670:five_prime_UTR:1,Parent=AT2G22670.1,,,
Chr2,Araport11,CDS,9637136,9637623,.,+,0,AT2G22670,1,Name=IAA8:CDS:3,ID=AT2G22670:CDS:3,Parent=AT2G22670.1,,,
Chr2,Araport11,CDS,9637721,9637950,.,+,1,AT2G22670,1,Name=IAA8:CDS:4,ID=AT2G22670:CDS:4,Parent=AT2G22670.1,,,
Chr2,Araport11,CDS,9638047,9638188,.,+,2,AT2G22670,1,Name=IAA8:CDS:5,ID=AT2G22670:CDS:5,Parent=AT2G22670.1,,,
Chr2,Araport11,CDS,9638275,9638336,.,+,1,AT2G22670,1,Name=IAA8:CDS:6,ID=AT2G22670:CDS:6,Parent=AT2G22670.1,,,
Chr2,Araport11,CDS,9638416,9638459,.,+,2,AT2G22670,1,Name=IAA8:CDS:7,ID=AT2G22670:CDS:7,Parent=AT2G22670.1,,,
Chr2,Araport11,exon,9638416,9638761,.,+,.,AT2G22670,1,Name=IAA8:exon:15,ID=AT2G22670:exon:15,Parent=AT2G22670.1,,,
Chr2,Araport11,three_prime_UTR,9638460,9638761,.,+,.,AT2G22670,1,Name=IAA8:three_prime_UTR:4,ID=AT2G22670:three_prime_UTR:4,Parent=AT2G22670.1,,,
Chr2,Araport11,five_prime_UTR,9637106,9637135,.,+,.,AT2G22670,1,Name=IAA8:five_prime_UTR:9,ID=AT2G22670:five_prime_UTR:9,Parent=AT2G22670.1,,,
Chr2,Araport11,exon,9637106,9637623,.,+,.,AT2G22670,1,Name=IAA8:exon:9,ID=AT2G22670:exon:9,Parent=AT2G22670.1,,,
Chr2,Araport11,exon,9637721,9637950,.,+,.,AT2G22670,1,Name=IAA8:exon:10,ID=AT2G22670:exon:10,Parent=AT2G22670.1,,,
Chr2,Araport11,exon,9638047,9638188,.,+,.,AT2G22670,1,Name=IAA8:exon:11,ID=AT2G22670:exon:11,Parent=AT2G22670.1,,,
Chr2,Araport11,exon,9638275,9638336,.,+,.,AT2G22670,1,Name=IAA8:exon:12,ID=AT2G22670:exon:12,Parent=AT2G22670.1,,,
Chr2,Araport11,mRNA,9636380,9638745,.,+,.,AT2G22670,4,_Curator_summary=Encodes a transcriptional repressor of the auxin response that is auxin inducible and is involved in lateral root formation.,Dbxref=gene:6530296725,,,,
Chr2,Araport11,exon,9636380,9636637,.,+,.,AT2G22670,4,Name=IAA8:exon:2,ID=AT2G22670:exon:2,Parent=AT2G22670.4,,,
Chr2,Araport11,five_prime_UTR,9636380,9636637,.,+,.,AT2G22670,4,Name=IAA8:five_prime_UTR:2,ID=AT2G22670:five_prime_UTR:2,Parent=AT2G22670.4,,,
Chr2,Araport11,five_prime_UTR,9636808,9636876,.,+,.,AT2G22670,4,Name=IAA8:five_prime_UTR:6,ID=AT2G22670:five_prime_UTR:6,Parent=AT2G22670.4,,,
Chr2,Araport11,exon,9636808,9636897,.,+,.,AT2G22670,4,Name=IAA8:exon:6,ID=AT2G22670:exon:6,Parent=AT2G22670.4,,,
Chr2,Araport11,CDS,9636877,9636897,.,+,0,AT2G22670,4,Name=IAA8:CDS:1,ID=AT2G22670:CDS:1,Parent=AT2G22670.4,,,
Chr2,Araport11,CDS,9637106,9637623,.,+,0,AT2G22670,4,Name=IAA8:CDS:2,ID=AT2G22670:CDS:2,Parent=AT2G22670.4,,,
